Project Number,Sector,Province,Name,Amount
73142,ARTS,GAUTENG,Siyabhabha Trust,1200000.0
73881,ARTS,GAUTENG,Mzansi Choir,650000.0
74126,ARTS,GAUTENG,National Youth Development Outreach,570000.0
74223,ARTS,GAUTENG,Hiv/Aids Awareness Project & Youth Development,900000.0
73118,ARTS,GAUTENG,Boitsheivillage Youth Development Centre,900000.0
73810,ARTS,GAUTENG,Vuyani Dance Theatre Project,2700000.0
74046,ARTS,GAUTENG,Lethukukhanya Health Institute,1876712.0
74961,ARTS,GAUTENG,West Rand Youth Development,1500000.0
55935,ARTS,GAUTENG,Die Erfenisstigting,290360.0
59153,ARTS,GAUTENG,National Youth Development Outreach,759828.0
72555,ARTS,GAUTENG,Tshepong Centre For The Disabled,399680.0
72956,ARTS,GAUTENG,Sanca Vaal Triangle,438282.0
74762,ARTS,GAUTENG,Bergville Off-Season Tournament,3545258.86
92470,ARTS,GAUTENG,13Th Floor Trust,900000.0
73332,ARTS,GAUTENG,Miyela,900000.0
73122,ARTS,GAUTENG,The Just Footprint Foundation,750000.0
73236,ARTS,GAUTENG,Perseverance Rural Development Centre,160000.0
73199,ARTS,GAUTENG,Ratanda Young Generation,250000.0
73740,ARTS,GAUTENG,Community And Prison Organisation (Cpo),418000.0
56212,ARTS,GAUTENG,Irene Homes,960833.6
73807,ARTS,GAUTENG,Children's Rights Vision (Sa),1052850.0
74202,ARTS,GAUTENG,Tjabatsatsi Primary School,200000.0
74316,ARTS,GAUTENG,Esikhisini Primary School,480000.0
74239,ARTS,GAUTENG,Mpumalanga Traditional Art Market,942200.0
73263,ARTS,GAUTENG,Johannesburg Youth Orchestra,650000.0
55268,ARTS,GAUTENG,The Jazz Foundation Of Sa,1200000.0
92115,ARTS,GAUTENG,The Jazz Foundation Of Sa,6500000.0
103519,ARTS,GAUTENG,Contento Foundation Npo,2003000.0
92650,ARTS,GAUTENG,The Oliver And Adelaid Tambo Foundation Trust,1500000.0
73108,ARTS,GAUTENG,Seriti Institute,2515696.0
73356,ARTS,GAUTENG,Curriculum Development Project Trust,870000.0
73862,ARTS,GAUTENG,University Of South Africa,950000.0
75131,ARTS,GAUTENG,Dobsonville Artistic Youth,1230000.0
72589,ARTS,GAUTENG,Africa Craft Trust,1860000.0
73040,ARTS,GAUTENG,Wellworn Theatre Company,1000000.0
38349,ARTS,GAUTENG,Big Fish School Of Digital Filmmaking,838651.0
38351,ARTS,GAUTENG,Big Fish School Of Digital Filmmaking,946430.0
73084,ARTS,GAUTENG,Setlabojha Primary School,98654.0
73738,ARTS,GAUTENG,Arts And Culture Trust,599598.0
74208,ARTS,GAUTENG,Halala! Afrika Theatre Society,570000.0
74386,ARTS,GAUTENG,Star Strider 126,900000.0
73764,ARTS,GAUTENG,Vukani Community Theatre,380000.0
90634,ARTS,GAUTENG,Premier National Choir Festival,1200000.0
74895,ARTS,GAUTENG,Kara Heritage Institute,3257064.0
75483,ARTS,GAUTENG,Windmill Park Primary School,450000.0
35391,ARTS,GAUTENG,Becomo Art Centre,3184632.0
73096,ARTS,GAUTENG,Thuto Kitso Secondary School,200000.0
73351,ARTS,GAUTENG,Funda Community College,2400000.0
74097,ARTS,GAUTENG,Champions Of The Environment,900000.0
74798,ARTS,GAUTENG,Ekasi Konexion Community Radio Station,180000.0
73115,ARTS,GAUTENG,Hoerskool Voortrekker,200000.0
103877,ARTS,GAUTENG,Change Forever Foundation,6120000.0
44932,ARTS,GAUTENG,Johannesburg Youth Orchestra,368340.0
90638,ARTS,GAUTENG,Kasipoetics Arts &Culural Activities,194880.0
90514,ARTS,GAUTENG,Music Academy Of Gauteng,1152096.0
92477,ARTS,GAUTENG,Southern African Disabled Musicians Association,1500000.0
73941,ARTS,GAUTENG,Ntsoana Contemporary Dance Theatre,375000.0
73287,ARTS,GAUTENG,Themba Interactive,380000.0
73128,ARTS,GAUTENG,Vaal Echoes Of Love,1596000.0
54890,ARTS,GAUTENG,The Cape Town Male Voice Choir,1776706.2
73594,ARTS,GAUTENG,Help2read,1200056.0
91911,ARTS,GAUTENG,Maala Wa Sebilo Foundation,1000000.0
103762,ARTS,GAUTENG,Solomon Mahlangu Freedom College Trust,1130823.0
73131,ARTS,GAUTENG,Arts For  Hope,287000.0
90710,ARTS,GAUTENG,The Human Rights Media Trust,2329680.0
74828,ARTS,GAUTENG,Soweto Shining Stars Youth Productions,570000.0
68077,CHARITIES,GAUTENG,Vuka' Ibambe Pre-School And Creche,75500.0
75051,CHARITIES,GAUTENG,Maano Community Development Project,82500.0
65767,CHARITIES,GAUTENG,Kopano Day Care Centre,94750.0
66789,CHARITIES,GAUTENG,Thabong Creche,96000.0
68309,CHARITIES,GAUTENG,Boitumelo Day Care & Pre-School,101750.0
68563,CHARITIES,GAUTENG,Ipholoseng Youth Project,102500.0
69108,CHARITIES,GAUTENG,Siphiwe Montessori School,109500.0
69535,CHARITIES,GAUTENG,Osizweni Day Care Soup Kitchen,110598.0
68036,CHARITIES,GAUTENG,Almac Developmental Centre,114691.0
68253,CHARITIES,GAUTENG,Little Baby Bear Day Care And Community Development Project,126824.0
68680,CHARITIES,GAUTENG,Bosabosele Outreach Projects,133900.0
70847,CHARITIES,GAUTENG,Fatyela Pre-School,139050.0
67326,CHARITIES,GAUTENG,Laudium Care Services For The Aged,147850.0
67765,CHARITIES,GAUTENG,Senzokuhle Day Care Centre,149000.0
69444,CHARITIES,GAUTENG,Ulwazi Day Care,152227.0
67725,CHARITIES,GAUTENG,The Buzzy Bees Day Care Centre,154812.0
68483,CHARITIES,GAUTENG,Kids Care Support Trust,157500.0
70893,CHARITIES,GAUTENG,Imbali Enhle Day Care Centre,160500.0
71196,CHARITIES,GAUTENG,Tshepo Tumelong Day Centre,161649.0
69466,CHARITIES,GAUTENG,Takalani Day Care Centre,164955.0
68305,CHARITIES,GAUTENG,Land Of Joy Day Care,166500.0
69995,CHARITIES,GAUTENG,Nomfundo Pre- School,166936.0
69037,CHARITIES,GAUTENG,Beam Sun Educational Training Centre,176650.0
69471,CHARITIES,GAUTENG,Intuthuko Creche And Pre-School,178414.0
63523,CHARITIES,GAUTENG,Khanyisa Hiv/Aids & Genetics Home,179100.0
68254,CHARITIES,GAUTENG,Zenith Pre-School And Day Care Centre,180263.0
67959,CHARITIES,GAUTENG,Simunye -Thuso Club For The Elderlies,185800.0
72191,CHARITIES,GAUTENG,Sendlalelo Caring Organisation,208050.0
68279,CHARITIES,GAUTENG,Land Of Joy Day Care,213750.0
69245,CHARITIES,GAUTENG,Tshedimosetso Youth Network,216000.0
68588,CHARITIES,GAUTENG,Aregoleng Day Care,223325.0
69286,CHARITIES,GAUTENG,Highveld Anglican Board Of Social Responsibility,231000.0
69049,CHARITIES,GAUTENG,Kamogelong Ya Sechaba Hiv & Aids Home Based Care And Counselling,231900.0
68639,CHARITIES,GAUTENG,Annani Trauma Centre,262647.0
72505,CHARITIES,GAUTENG,Khomanani Katlehong Home Based Care Hiv/Aids,292050.0
71246,CHARITIES,GAUTENG,The National Burn Association Of S.A,248773.0
68600,CHARITIES,GAUTENG,The Little Roses Day Care & Pre School,310768.0
72562,CHARITIES,GAUTENG,Westbury Aids Support Group,371500.0
68500,CHARITIES,GAUTENG,Masizakhe Project For The Physically Disabled,214289.0
86038,CHARITIES,GAUTENG,Bakone Community Home Based Care Centre,573000.0
86239,CHARITIES,GAUTENG,Twins Day Care,620435.0
67342,CHARITIES,GAUTENG,Nelson Mandela Childrens Fund,1415620.0
87434,CHARITIES,GAUTENG,Tshadi's Day Care Centre,416250.0
87640,CHARITIES,GAUTENG,Lintle Communiy Awakening,566367.0
43262,CHARITIES,GAUTENG,Siphiwe Educational Programme,83654.0
66377,CHARITIES,GAUTENG,Rainbow Early Childhood Development,100000.0
67767,CHARITIES,GAUTENG,Ilitha Safe House Fostering Day And Night Care,153050.0
68560,CHARITIES,GAUTENG,Patty Learning Centre,160350.0
56184,CHARITIES,GAUTENG,Tembisa Society For Care And Welfare Of The Aged,201901.0
66500,CHARITIES,GAUTENG,Professional Pre School,96174.0
67158,CHARITIES,GAUTENG,Phumzile Day Care Centre,111907.0
67185,CHARITIES,GAUTENG,Ditshwanelo Early Learning Centre,146139.0
67939,CHARITIES,GAUTENG,Ilitha Le Soweto,152300.0
67954,CHARITIES,GAUTENG,Zamubuhle Day Care Centre,136841.0
68204,CHARITIES,GAUTENG,Rethabile Early Childhood Development Centre,72048.0
68436,CHARITIES,GAUTENG,The Old People's Home,45154.0
68614,CHARITIES,GAUTENG,Sedibeng Sa Bophelo Community Project,112100.0
68755,CHARITIES,GAUTENG,Sipho's Day Care Centre,144950.0
68775,CHARITIES,GAUTENG,Vusanani Day Care,143027.0
69991,CHARITIES,GAUTENG,Youngstars Nursery And Pre-School,136500.0
85927,CHARITIES,GAUTENG,The Krugersdorp Council For The Care Of The Aged,999192.0
85960,CHARITIES,GAUTENG,Mamas Baby Day Care Centre,381467.0
86015,CHARITIES,GAUTENG,The Down Syndrome Association (Gauteng),1185200.0
86232,CHARITIES,GAUTENG,Ry-Ma-In-Self Hlep Centre,455900.0
68001,CHARITIES,GAUTENG,Progress Day Care Organisation,145752.0
69128,CHARITIES,GAUTENG,Pitsong Pre-School & Creche,150250.0
85876,CHARITIES,GAUTENG,Children's Disability Centre,1678907.0
85879,CHARITIES,GAUTENG,Families South Africa Pretoria,978074.0
85914,CHARITIES,GAUTENG,Rhema Christian Service Foundation,732000.0
85961,CHARITIES,GAUTENG,Men For Development In South Africa,1018600.0
58090,CHARITIES,GAUTENG,Action Labourers For The Harvest,462000.0
65132,CHARITIES,GAUTENG,Ikageng Creche,135000.0
65799,CHARITIES,GAUTENG,Daniel Comboni Day And Night Care Centre,235000.0
66522,CHARITIES,GAUTENG,Association For People With Disabilities Gauteng North,25750.0
67622,CHARITIES,GAUTENG,Isobella Creche,125500.0
67633,CHARITIES,GAUTENG,Othandweni Community Development Service,175150.0
67839,CHARITIES,GAUTENG,Children Of The Dawn,358406.0
68166,CHARITIES,GAUTENG,Sivusithemba Community Home Based Care,236500.0
68410,CHARITIES,GAUTENG,True Friends Creche And Pre School,200063.0
68502,CHARITIES,GAUTENG,Tsohang Youth Project,67600.0
68698,CHARITIES,GAUTENG,Clean Touch Administrative Services,245800.0
68759,CHARITIES,GAUTENG,Umhlangeni Pre Primary School,143833.0
68833,CHARITIES,GAUTENG,Sakha Uluntu,91500.0
68975,CHARITIES,GAUTENG,Kamohelong Home Based Care,60000.0
69207,CHARITIES,GAUTENG,Nkosi's Haven,315000.0
69388,CHARITIES,GAUTENG,Ithemba Day Care Soup Kitchen,56500.0
69982,CHARITIES,GAUTENG,Phuthaditjhaba Club,362504.0
85912,CHARITIES,GAUTENG,Hands Of Compassion,635000.0
85945,CHARITIES,GAUTENG,Agisanang Domestic Abuse Prevention & Training,1142000.0
85995,CHARITIES,GAUTENG,National Council Of Spca's,1074075.0
86067,CHARITIES,GAUTENG,Progress Educational Counsellors Organisation,647400.0
86148,CHARITIES,GAUTENG,South African Mobility For The Blind Trust,683375.0
86175,CHARITIES,GAUTENG,The Living Link,855540.0
68553,CHARITIES,GAUTENG,Thuthukani Educare Centre,127094.0
70732,CHARITIES,GAUTENG,Lapeng Home For The Age Care Centre,955000.0
86368,CHARITIES,GAUTENG,Raad Vir Bejaardes Kempton Park,347266.0
88928,CHARITIES,GAUTENG,Sedibeng Pre-Primary School,274550.0
67736,CHARITIES,GAUTENG,Nokhaya Day Care,37075.0
67745,CHARITIES,GAUTENG,Retshepisitswe Day Care,118895.0
69468,CHARITIES,GAUTENG,Bula Mahlo Day Care Center,162267.0
85971,CHARITIES,GAUTENG,Christelik-Maatskaplike Raad Kempton Park/Tembisa,589000.0
66401,CHARITIES,GAUTENG,Kopano Ke Matla Home Based Care,100000.0
67312,CHARITIES,GAUTENG,Deutches Evangelisches Altersheim Jhb,78500.0
68730,CHARITIES,GAUTENG,Thuthukani Centre,225000.0
86212,CHARITIES,GAUTENG,Solheim Tuiste Vir Bejaardes,245135.0
56702,CHARITIES,GAUTENG,Christian Preschool,100000.0
65143,CHARITIES,GAUTENG,Thuto Ke Lere Day Care Centre,122000.0
66382,CHARITIES,GAUTENG,Thandanani Pre-School & Creche,173000.0
66402,CHARITIES,GAUTENG,Khulani Day Care Centre,170000.0
67065,CHARITIES,GAUTENG,Thekganang Drop In Centre,183000.0
67535,CHARITIES,GAUTENG,Bana Ba Bagodimo Drop In Centre,240000.0
67958,CHARITIES,GAUTENG,Kideo Nursery School And Baby Care,132350.0
68769,CHARITIES,GAUTENG,Rise And Shine Day Care,82927.0
85941,CHARITIES,GAUTENG,Imisebeyelanga Services,942058.0
86196,CHARITIES,GAUTENG,The Family Life Centre:families South Africa Johannesburg,1400000.0
86351,CHARITIES,GAUTENG,Christelik Maatskaplike Raad Gauteng-Oos,495600.0
63704,CHARITIES,GAUTENG,Community Base Dots Organisation,200000.0
66716,CHARITIES,GAUTENG,Orlando West Helping Hands (Resubmitted),53265.0
67627,CHARITIES,GAUTENG,Chip & Dale Pre-School,128905.0
68054,CHARITIES,GAUTENG,Zamani Day Care,119650.0
68169,CHARITIES,GAUTENG,Tiny Toys Creche And Pre-School,196530.0
68583,CHARITIES,GAUTENG,Mmaketsoeng Day Care Centre,227398.0
68743,CHARITIES,GAUTENG,Radisela Aftercare - Drop In Centre,109000.0
69426,CHARITIES,GAUTENG,Manyano Day Care Centre,123843.0
70378,CHARITIES,GAUTENG,Section27 Incorporating The Aids Law Project,376000.0
86742,CHARITIES,GAUTENG,Sizabantu Day Care,424434.0
88914,CHARITIES,GAUTENG,Rea Rutwa Day Care Centre,191550.0
68346,CHARITIES,GAUTENG,Berea -Hillbrow Home Of Hope,997370.0
69205,CHARITIES,GAUTENG,Lethusizo Home Based Care,179800.0
70309,CHARITIES,GAUTENG,Lehlohonolo Community Welfare Organisation,140500.0
65127,CHARITIES,GAUTENG,Fantasy Land Day Care Centre,157500.0
65917,CHARITIES,GAUTENG,Sabelani Life Skills Project,747610.0
68134,CHARITIES,GAUTENG,Tshepo Community Development Initiative,98717.0
68511,CHARITIES,GAUTENG,Plesion Npc,159725.0
56627,CHARITIES,GAUTENG,Nkhensani Creche,126508.0
65703,CHARITIES,GAUTENG,Thembi's Day Care Centre,180000.0
66609,CHARITIES,GAUTENG,Kgodisong Day Care And Pre-School,146800.0
67276,CHARITIES,GAUTENG,Tebohong Pre School,168000.0
67292,CHARITIES,GAUTENG,Bona Lesedi Day Care Centre,138000.0
68177,CHARITIES,GAUTENG,Ithuteng Nursery & Pre School,109750.0
68487,CHARITIES,GAUTENG,The Governing Body Of The Johannesburg Hospital School,100000.0
68669,CHARITIES,GAUTENG,Angela Day Care Centre,104650.0
85963,CHARITIES,GAUTENG,Vanderbijlpark Trauma Counseling Empowerment Centre,860500.0
85989,CHARITIES,GAUTENG,Families South Africa Vaal Triangle,878000.0
88872,CHARITIES,GAUTENG,Bonang Day Care Centre,136049.0
81382,CHARITIES,GAUTENG,Masebe Day Care,1266667.0
81496,CHARITIES,GAUTENG,Jabulile Pre School And Creche,1266667.0
82096,CHARITIES,GAUTENG,Carroll Shaw Memorial Centre,1266667.0
83318,CHARITIES,GAUTENG,Tiisetso Pre & Day Care Centre,1266667.0
83323,CHARITIES,GAUTENG,Thabong Creche And Pre School,1266667.0
83560,CHARITIES,GAUTENG,Ulandi Kindergarden,1266667.0
83747,CHARITIES,GAUTENG,Ikageng Day Care & Pre-School,1266667.0
84098,CHARITIES,GAUTENG,Mapule Kideo Centre,1266667.0
84190,CHARITIES,GAUTENG,Ebenezer Child Development Programme,1266667.0
66063,CHARITIES,GAUTENG,Ntirisano Initiative,217000.0
66385,CHARITIES,GAUTENG,Good News Children Outreach,117000.0
67752,CHARITIES,GAUTENG,Bhongweni Creche Day Care,141078.0
68418,CHARITIES,GAUTENG,W.a.w.a Support Group,315650.0
69994,CHARITIES,GAUTENG,Thamboville Day Care & Pre -School (Resubmitted),129789.0
50289,CHARITIES,GAUTENG,Pastoral Centre Pre-School & Creche,308250.0
56884,CHARITIES,GAUTENG,Sinethemba Day Care & Pre-School,78041.0
67772,CHARITIES,GAUTENG,The Way Imvelo Day Care,47500.0
68493,CHARITIES,GAUTENG,Daveyton Association For The Physically Disabled,137700.0
69992,CHARITIES,GAUTENG,Abc Nursery And Pre-School,136000.0
71325,CHARITIES,GAUTENG,Thobjane Pre-School,189500.0
86066,CHARITIES,GAUTENG,Eersterus Care And Training Centre,1679516.0
86215,CHARITIES,GAUTENG,Child Welfare Tshwane,1905000.0
86256,CHARITIES,GAUTENG,Noma's Care Centre For The Aged,813668.0
65147,CHARITIES,GAUTENG,Hope Day Care Centre,30000.0
67270,CHARITIES,GAUTENG,Bophelo Impilo Community Association,211000.0
68399,CHARITIES,GAUTENG,Are Goleng Day Care,80000.0
68531,CHARITIES,GAUTENG,Pitseng Day Care & Nursery,170000.0
69428,CHARITIES,GAUTENG,Imbalenhle Community Centre,150500.0
70584,CHARITIES,GAUTENG,Lungile Day Care Centre,108000.0
71264,CHARITIES,GAUTENG,Puseletso Day Care Centre,121400.0
85949,CHARITIES,GAUTENG,Ratanang Day Care Centre,594000.0
86242,CHARITIES,GAUTENG,Lesedi La Tsebo Pre School,392722.0
67279,CHARITIES,GAUTENG,Success Ii Pre-School,138000.0
67746,CHARITIES,GAUTENG,Akasosha Men's Forum,149375.0
67824,CHARITIES,GAUTENG,Joy Edu-Care Centre,141927.0
65931,CHARITIES,GAUTENG,Little Emmanuel Day Care Centre  (Resubmitted),66869.0
86563,CHARITIES,GAUTENG,Tshwaranang Support Group,396398.0
65443,CHARITIES,GAUTENG,Mokgaetsi Day Care Centre,72999.0
66623,CHARITIES,GAUTENG,Rethabile Day Care & Pre- School,146917.0
68227,CHARITIES,GAUTENG,Thanda Bantu Pre-School,87000.0
69046,CHARITIES,GAUTENG,Mohlakeng Prototype E.c.d Centre,128500.0
56999,CHARITIES,GAUTENG,Progressive Women's Movement Of South Africa,672000.0
66411,CHARITIES,GAUTENG,N.j. Molope Pre-School,100000.0
67392,CHARITIES,GAUTENG,Thembalethu Place Of Care,95000.0
67518,CHARITIES,GAUTENG,Lesedi Day Care Centre,51850.0
67960,CHARITIES,GAUTENG,Bathei Luncheon Club,120458.0
68052,CHARITIES,GAUTENG,Itireleng Day Care Centre,97950.0
68200,CHARITIES,GAUTENG,Zanele's Day Care Centre,84850.0
68238,CHARITIES,GAUTENG,Kopanang Care Centre,317376.0
68373,CHARITIES,GAUTENG,Arise And Shine Kids Korner Day Care And Pre-School,186750.0
68556,CHARITIES,GAUTENG,Eyethu Centre For Disabled Children,210028.0
72546,CHARITIES,GAUTENG,Eyethu Day Care,221397.0
85875,CHARITIES,GAUTENG,J S Mminele Diaconate Centre,661918.0
85962,CHARITIES,GAUTENG,Sunfi eld Home (Logwood Village),972133.0
86578,CHARITIES,GAUTENG,Lesedi Setjhabeng Day Care Centre,172300.0
87220,CHARITIES,GAUTENG,Hope For Life Support Centre,460600.0
68366,CHARITIES,GAUTENG,Daveyton Orphans Resource Centre  (Resubmision),250700.0
68981,CHARITIES,GAUTENG,Alfa And Omega Special Care Centre,140000.0
69599,CHARITIES,GAUTENG,The Way Day Care,132164.0
86264,CHARITIES,GAUTENG,Katia Day Care Centrekatia,186500.0
86577,CHARITIES,GAUTENG,Neo E Bonolo Drop In Center,500000.0
92472,CHARITIES,GAUTENG,Gauteng Opera,1800000.0
85925,CHARITIES,GAUTENG,"Saint Giles Association For The Physically Disabled Of Transvaal And
The Orange Free",348054.0
87278,CHARITIES,GAUTENG,Jack & Jill Pre-School,173054.0
87641,CHARITIES,GAUTENG,Savf Moreglans Ouetehuis,235000.0
84250,CHARITIES,GAUTENG,"Rebone Botshelo Children's Centre, Day Care & Pre-School",1266667.0
86630,CHARITIES,GAUTENG,Christelik-Maatskaplike Raad Van Silverpark,856400.0
86666,CHARITIES,GAUTENG,For Youth With Diabetes,406000.0
86793,CHARITIES,GAUTENG,Thuto Lerato Day Care,350100.0
87337,CHARITIES,GAUTENG,Mmamerafe Early Learning Centre,156650.0
85957,CHARITIES,GAUTENG,Sunnyside Orphanage Home,370655.0
85977,CHARITIES,GAUTENG,Sparrow Ministries (Resubmiision),771000.0
87569,CHARITIES,GAUTENG,Mzamo Day Care Centre,98250.0
85887,CHARITIES,GAUTENG,Bana Ba Noko Community Centre,274196.0
86412,CHARITIES,GAUTENG,Mikateko Day Care Centre,278130.0
86724,CHARITIES,GAUTENG,San Salvador Home For Mentally Handicapped Girls And Women,1539495.0
89094,CHARITIES,GAUTENG,Tshepo Makole Youth Empowerment Foundation,137248.0
85931,CHARITIES,GAUTENG,Wide Horizon Hospice Association Of The Vaal Triangle,635888.0
86508,CHARITIES,GAUTENG,Cancer Association Of South Africa,4974500.0
87265,CHARITIES,GAUTENG,Kaisano Creche & Pre School,300000.0
86286,CHARITIES,GAUTENG,Phumula Old Age Home,833489.0
86134,CHARITIES,GAUTENG,Itumeleng Sechaba Home Based Care,1188150.0
85911,CHARITIES,GAUTENG,Itsoseng Care Givers Project,569000.0
89312,CHARITIES,GAUTENG,2010 Day And Night Care Centre,275000.0
86195,CHARITIES,GAUTENG,Fwc Welfare And Development Centre,993626.0
86350,CHARITIES,GAUTENG,Kagiso Day And After Care Centre,419179.0
86040,CHARITIES,GAUTENG,Diboko Drop In Centre**,145000.0
86708,CHARITIES,GAUTENG,South African National Council On Alcoholism And Drug Dependence,1463760.0
103614,CHARITIES,GAUTENG,Denzhe Primary Care,7500000.0
103629,CHARITIES,GAUTENG,Southern African Youth Movement,7500000.0
68053,CHARITIES,GAUTENG,Mapule`S Kideo Centre,178320.0
92521,CHARITIES,GAUTENG,Alpha Trauma Centre,616900.0
69389,CHARITIES,GAUTENG,Ekukhanyeni Day Care,115001.0
85915,CHARITIES,GAUTENG,Tshepong Centre For The Disabled,718725.0
99313,CHARITIES,GAUTENG,Society For The Prevention Of Cruelty Of Animals Randburg,359000.0
87551,CHARITIES,GAUTENG,Lutheran Community Outreach Foundation (Hillbrow),750000.0
88795,CHARITIES,GAUTENG,Jacobs Well Ministries,987975.0
92472,CHARITIES,GAUTENG,Gauteng Opera,1200000.0
86227,CHARITIES,GAUTENG,Childline Gauteng,2321671.0
86288,CHARITIES,GAUTENG,Professional Pre School,265686.0
86733,CHARITIES,GAUTENG,Employability Vulindlela,204000.0
69359,CHARITIES,GAUTENG,Sibanikuthando Elders Club,94000.0
86079,CHARITIES,GAUTENG,Topsy Foundation,969000.0
86185,CHARITIES,GAUTENG,Irene Homes,1286898.0
86230,CHARITIES,GAUTENG,Baby Therapy Centre,412000.0
86249,CHARITIES,GAUTENG,Epworth Children Home,1336000.0
86259,CHARITIES,GAUTENG,Ikhayalam Day Care,233200.0
86796,CHARITIES,GAUTENG,E.lesego Educare,567300.0
89061,CHARITIES,GAUTENG,Break-Through Centre,489300.0
97912,CHARITIES,GAUTENG,Endometriosis Foundation Of Africa Npo,179000.0
81534,CHARITIES,GAUTENG,Sunrise Day Care Centre,800000.0
84591,CHARITIES,GAUTENG,Gauteng North Services To People With Disabilities,2106700.0
86632,CHARITIES,GAUTENG,Rand Aid Association,763691.0
66598,CHARITIES,GAUTENG,Holy United Ovc Day Care And Home Based Centre,280000.0
86235,CHARITIES,GAUTENG,Elim Clinic,1535500.0
86734,CHARITIES,GAUTENG,Faith Day Care Centre,145000.0
87499,CHARITIES,GAUTENG,Kitso Lesedi Community Development,676242.0
79327,CHARITIES,GAUTENG,Kindom Kids Early Learning Centre,761000.0
81389,CHARITIES,GAUTENG,Maggy Otsile Day Care Centre,800000.0
81554,CHARITIES,GAUTENG,Katleho Creche,800000.0
81235,CHARITIES,GAUTENG,Iketleng Day Care,805000.0
81491,CHARITIES,GAUTENG,Injabulo Day Care Centre,765000.0
81556,CHARITIES,GAUTENG,Know Your Child Pre School,800000.0
81579,CHARITIES,GAUTENG,Bana Pele Pre School,765000.0
86568,CHARITIES,GAUTENG,South African Federation For The Mental Health,1183800.0
88309,CHARITIES,GAUTENG,Savf Oberholzer,1139015.0
103629,CHARITIES,GAUTENG,Southern African Youth Movement,7500000.0
83966,CHARITIES,GAUTENG,Ernest Buti Cum Pre-Primary Creche,400000.0
85901,CHARITIES,GAUTENG,Alberton Methodist Care And Relief Enterprise - Amcare,656000.0
86250,CHARITIES,GAUTENG,Lethabong Pre & Creche,150670.0
86340,CHARITIES,GAUTENG,Cheshire Homes South Africa,340000.0
86580,CHARITIES,GAUTENG,Itumeleng Day Care Centre,200000.0
87491,CHARITIES,GAUTENG,Takalane Sesame Creche,200000.0
67288,CHARITIES,GAUTENG,Grace Creche,107000.0
81506,CHARITIES,GAUTENG,My Hope Day Care Centre,1010000.0
85961,CHARITIES,GAUTENG,Men For Development In South Africa,706600.0
69226,CHARITIES,GAUTENG,Zakheni Home Based Care,784682.0
69385,CHARITIES,GAUTENG,The Ekukhanyeni Community Development Centre,350000.0
81400,CHARITIES,GAUTENG,Ennerdale Peter Pan Nursery School,765000.0
85885,CHARITIES,GAUTENG,Sedibeng Alcohol & Drug Rehabilitation Centre,492000.0
85974,CHARITIES,GAUTENG,Gugulethu Parents For Orphans,543300.0
86251,CHARITIES,GAUTENG,Thuthukani Creche & Pre-School,153000.0
85872,CHARITIES,GAUTENG,United Cerebral Palsy Association Of South Africa,552000.0
85935,CHARITIES,GAUTENG,Roger Stephen Protective Workshop,343800.0
85943,CHARITIES,GAUTENG,Spca Roodepoort,428500.0
86113,CHARITIES,GAUTENG,House Of Mercy,1358000.0
86204,CHARITIES,GAUTENG,Empowering Emotionally Abused Women  & Children,482500.0
86271,CHARITIES,GAUTENG,Tshwane Place Of Safety Association,800575.0
86377,CHARITIES,GAUTENG,Iketleng Day Care,135500.0
87172,CHARITIES,GAUTENG,Life Line Vaal Triangle,973694.0
87349,CHARITIES,GAUTENG,Ebenezer House Of Hope,500000.0
87399,CHARITIES,GAUTENG,Rorisang Creche And Pre-School,403996.0
89446,CHARITIES,GAUTENG,Bathopele Community Development Centre,134731.0
85957,CHARITIES,GAUTENG,Sunnyside Orphanage Home,156500.0
67731,CHARITIES,GAUTENG,Lerena Re A Shoma Disability Organisation,66442.0
68353,CHARITIES,GAUTENG,Usindiso Ministries,590000.0
69047,CHARITIES,GAUTENG,Thusano Day Care Centre,139800.0
81160,CHARITIES,GAUTENG,Sizanani Child Care,765000.0
85940,CHARITIES,GAUTENG,Employment Solutions For People With Disabilities,857000.0
86274,CHARITIES,GAUTENG,Conquest For Life,540000.0
86775,CHARITIES,GAUTENG,Sizanani Community Development Project,111500.0
103614,CHARITIES,GAUTENG,Denzhe Primary Care,7500000.0
69566,CHARITIES,GAUTENG,Isolomzi Wedela Women's Development Organisation,204899.0
86054,CHARITIES,GAUTENG,Tumelong,1084200.0
68209,CHARITIES,GAUTENG,Forest Town School,569000.0
86156,CHARITIES,GAUTENG,Creative Lebohang Pre-School,100000.0
86373,CHARITIES,GAUTENG,Kanana Multipurpose Centre,152350.0
87318,CHARITIES,GAUTENG,Praise And Worship Bible Creche,126900.0
87552,CHARITIES,GAUTENG,Oratile Early Learning Centre,100000.0
87865,CHARITIES,GAUTENG,Smile Foundation,531700.0
88979,CHARITIES,GAUTENG,Sanca Central Rand Alcohol And Drug Centre,1731000.0
89139,CHARITIES,GAUTENG,Kagisano Educare,151000.0
89574,CHARITIES,GAUTENG,Demedro Day Care,156000.0
86371,CHARITIES,GAUTENG,Acres Of Love,345000.0
86382,CHARITIES,GAUTENG,Johannesburg Child Welfare Society (Jcws),1542790.0
86643,CHARITIES,GAUTENG,Arise & Shine Day Care & Pre - School,130000.0
86767,CHARITIES,GAUTENG,'Pacsen' Parents For Children With Special Educational Needs,255573.0
